index,brand,model,mileage,price_range,link
3732.,TOYOTA,HILUX VIGO Pickup 4dr DCab G Man 5sp RWD 2.5DCT-201107,-,"240,000 - 445,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-g-man-5sp-rwd-2-5dct-201107-manual
3733.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner E Auto 5sp RWD 2.5DCT (ABS)-201208,-,"260,000 - 480,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-e-auto-5sp-rwd-2-5dct-abs-201208-automatic
3734.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner E Man 5sp RWD 2.5DCT-201012,-,"205,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-e-man-5sp-rwd-2-5dct-201012-manual
3735.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner E Man 5sp RWD 2.5DCT-201107,-,"235,000 - 435,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-e-man-5sp-rwd-2-5dct-201107-manual
3736.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner E Man 5sp RWD 2.5DCT-201309,-,"250,000 - 450,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-e-man-5sp-rwd-2-5dct-201309-manual
3737.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner E Man 5sp RWD 2.5DCT (ABS)-201107,-,"245,000 - 455,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-e-man-5sp-rwd-2-5dct-abs-201107-manual
3738.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner E TRD Sportivo Auto 5sp RWD 2.5DCT (ABS)-201208,-,"275,000 - 510,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-e-trd-sportivo-auto-5sp-rwd-2-5dct-abs-201208-automatic
3739.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner E TRD Sportivo Auto 5sp RWD 2.5DCT (ABS)-201309,"5,854","400,000 - 595,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-e-trd-sportivo-auto-5sp-rwd-2-5dct-abs-201309-automatic
3740.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner G Auto 5sp RWD 3.0DCT-201107,-,"255,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-g-auto-5sp-rwd-3-0dct-201107-automatic
3741.,TOYOTA,HILUX VIGO Pickup 4dr DCab Prerunner G Man 5sp RWD 3.0DCT-200908,-,"230,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-pickup-4dr-dcab-prerunner-g-man-5sp-rwd-3-0dct-200908-manual
3742.,TOYOTA,HILUX VIGO Prerunner 3.0 DCT (Navi),-,"390,000 - 530,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-prerunner-3-0-dct-navi-manual
3743.,TOYOTA,HILUX VIGO Prerunner E 2.5 DCT (ABS),-,"370,000 - 505,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-prerunner-e-2-5-dct-abs-automatic
3744.,TOYOTA,HILUX VIGO Prerunner E 2.5 DCT,-,"305,000 - 460,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-vigo-prerunner-e-2-5-dct-manual
